PATH,STUDY,PHENO,ETHNICITY,NCASES,NCONTROLS,SOFTWARE,PANEL,BUILD,DATE,ANALYST,GC,FF,ISERROR
/data/projects/GO2/RAWDATA/AGDS,AGDS,ALLOA,EA,1733,5240,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,EARLYALLOA,EA,607,6366,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,FEMALEALLOA,EA,1371,3948,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,FEMALEHAND,EA,639,4680,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,FEMALEHIP,EA,391,4928,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,FEMALEHIPKNEE,EA,788,4531,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,FEMALEKNEE,EA,579,4740,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,FEMALESPINE,EA,658,4661,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,74,5245,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,169,5150,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,110,5209,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,HAND,EA,777,6193,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,HIP,EA,496,6477,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,HIPKNEE,EA,1021,5952,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,KNEE,EA,761,6212,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,MALEALLOA,EA,363,1292,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,MALEHAND,EA,138,1516,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,MALEHIP,EA,105,1549,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,MALEHIPKNEE,EA,233,1421,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,MALEKNEE,EA,182,1472,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,MALESPINE,EA,151,1503,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,28,1626,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,54,1600,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,29,1625,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,SPINE,EA,6164,809,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,NO
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,102,6750,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,223,6750,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
/data/projects/GO2/RAWDATA/AGDS,AGDS,ERROR,EA,102,6871,SAIGE,HRC,37,260721,PAL,GCNo,FFNo,YES
